№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9420867,Новое,RISK_SHORT,2024-06-26 10:35:37,13992.9552,360-rxm-qghv-mdqqz,42470-bjqp-zbmmwv-nnbhgbln,7718
9420869,Новое,RISK_SHORT,2024-06-26 10:35:37,11746.8558,162-prv-jsxl-bzvdz,45427-ydut-gtswob-gmbvclpe,5024
9420870,Новое,RISK_SHORT,2024-06-26 10:35:37,9647.445,178-uco-gnms-svpub,28373-wvaf-zaohkp-vnasedox,5042
9420871,Новое,RISK_SHORT,2024-06-26 10:35:38,110441.6706,193-qog-sydv-gthwd,83456-cvyd-mxoqsm-dgqcolvs,5800
9420872,Новое,RISK_SHORT,2024-06-26 10:35:38,19107.1242,612-mnz-blvo-qmvly,20096-blzh-btsvqj-tzcxkhzn,2000
9420873,Новое,RISK_SHORT,2024-06-26 10:35:38,93142.8564,214-skq-ofsb-nclzq,20088-pcgt-nmzuff-cwcdmubk,7733
9420874,Новое,RISK_SHORT,2024-06-26 10:35:39,76618.6128,603-yid-kctw-tqoty,14068-hpwc-xgydra-yhimxyuz,4400
9420876,Новое,RISK_SHORT,2024-06-26 10:35:39,23081.4438,177-wmy-rzdn-nsson,71570-wger-duvlmt-ujuqhenh,6164
9420877,Новое,RISK_SHORT,2024-06-26 10:35:39,386163.0408,733-koq-iawo-pifdv,41431-feho-skqcgw-rwzfpxwg,2635
9420878,Новое,RISK_SHORT,2024-06-26 10:35:40,15415.2222,397-jei-fzhr-fstgn,53849-guje-pbytfw-rftnhscj,400
9420880,Новое,RISK_SHORT,2024-06-26 10:35:40,5409.645,918-crp-uvru-dduvp,76810-ntjn-nnaicn-oaocnsdu,1200
9420881,Новое,RISK_SHORT,2024-06-26 10:35:41,63062.5049,968-ikv-xyjk-fhawn,18043-nqsz-aqgccq-afoypurj,5009
9420883,Новое,RISK_SHORT,2024-06-26 10:35:41,10194.6493,243-anu-bqym-ilcvl,37178-axsu-cirpvr-lacnmrhj,2367
9420884,Новое,RISK_SHORT,2024-06-26 10:35:41,14279.3742,146-gan-biti-ajcdc,80784-smdk-rvlyum-jntlxsgn,7807
